layer,final_train_loss,final_train_mse,final_train_l1,final_train_l0,final_test_loss,final_test_mse,final_test_l1,final_test_l0,probe_r2_full,probe_r2_top10,probe_r2_top20,probe_r2_top50,n_X_positive,n_X_negative,n_Y_positive,n_Y_negative,max_abs_correlation,mean_abs_correlation
0,0.00019689069886226208,2.388362081546802e-05,0.00017300707913818768,60.699812507629396,0.00018534742412157357,2.2565516701433808e-05,0.00016278190014418215,55.03999710083008,-0.002795723358425558,-0.003243479030681784,-0.0029052232623050602,-0.002768992298680032,1,0,0,46,0.2823558967491411,0.21000939742497585
1,0.000585425438475795,3.5189669688406866e-05,0.0005502357758814469,102.15,0.0005538811674341559,3.2724925404181704e-05,0.0005211562383919954,89.0,-0.014211167728017005,-0.0036702174249601724,-0.004685817130135013,-0.01109697820834595,0,0,0,4,0.26334961180724437,0.19991200184855293
2,0.0003256429481552914,2.764719156402862e-05,0.00029799575568176804,76.73587493896484,0.00030921754660084844,2.534813029342331e-05,0.00028386941994540393,70.01000213623047,0.0008649574104444557,-0.002894940837491459,-0.0022486508914456582,0.0001146362677487689,0,0,70,0,0.3291463622067266,0.265181249827186
3,0.00021786282377433963,2.5600430308259093e-05,0.00019226239382987841,45.4453125,0.00020313618006184697,2.384175058978144e-05,0.00017929442401509732,39.290000915527344,0.0008260888491404828,-0.0033220627660546973,-0.0021865122326647133,0.0008261025941606418,0,24,0,9,0.2877730442089972,0.18146550426352162
4,0.00030057388939894734,3.247634967920021e-05,0.0002680975390831009,48.446875,0.0002783777308650315,3.1722789572086185e-05,0.0002466549340169877,42.0099983215332,0.00038620280968626464,-0.0026282280015316926,0.00033332452468296897,0.0003861604515194017,0,0,0,5,0.23307699451783076,0.19072800797212192
5,0.00045388059807009994,6.462243982241489e-05,0.0003892581575200893,56.9359375,0.00041840109042823315,6.141996709629893e-05,0.0003569811233319342,47.04999923706055,0.005940134311033167,-0.0007739071988683103,0.002865700229057152,0.005939891910693366,0,0,6,28,0.2801205809021548,0.21957793698350253
6,0.0006442037672968581,9.33048522711033e-05,0.0005508989124791697,79.91031227111816,0.0006041350425221026,8.980205893749371e-05,0.000514332961756736,69.08000183105469,0.005972039159772698,0.0019907545906990842,0.004511406873492348,0.006380679359023793,0,0,3,50,0.31674075972295285,0.2464107441068272
7,0.0011790508055128158,0.0001678360567893833,0.0010112147574545816,124.600874710083,0.0010983438696712255,0.00016642060654703528,0.0009319232194684446,104.98999786376953,0.00943476580450068,0.0020398673169461645,0.006038661710315567,0.009588316868191282,0,0,2,80,0.32852786643121823,0.22303153666368108
8,0.00141562182107009,0.0002379815632593818,0.0011776402534451336,140.98506240844728,0.0013207506854087114,0.00023093842901289463,0.0010898122563958168,115.98999786376953,0.005584116730066424,-0.00031895210549337527,0.002603428162145686,0.006022813090476253,0,0,5,86,0.3044014822916061,0.2145180816933994
9,0.0018309183011297136,0.00026666571357054637,0.0015642525802832096,161.16924972534179,0.0017189400969073176,0.00026078204973600805,0.0014581580180674791,135.11000061035156,-0.0020263438398391656,-0.002765894648917263,-0.0027047485402573734,-0.0015945789684072749,0,6,2,37,0.32611709460226473,0.1771114604709102
10,0.0011307775799650698,0.00021922584928688594,0.0009115517343161628,109.8390625,0.0010525344405323267,0.00020966633746866137,0.0008428681176155806,89.00999450683594,-0.0038368240466772896,-0.0035005333047177047,-0.003685165934292319,-0.0037894880847163157,0,2,6,5,0.22383224304979352,0.16950830955918003
11,0.0013925463194027544,0.000268772870185785,0.0011237734463065863,149.45456237792968,0.0012964417692273855,0.00026041039382107556,0.0010360314045101404,125.33999633789062,-0.012672343600408253,-0.003507258194040741,-0.005414922780775526,-0.008736069810823421,1,0,20,3,0.26472781348955177,0.1777305645903937
